"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"277","Continente não especificado",2012-01-01,1,0,0,0,17,-0.25
"278","Continente não especificado",2012-02-01,1,0,0,0,18,0.0454545454545455
"279","Continente não especificado",2012-03-01,0,0,1,0,18,0
"280","Continente não especificado",2012-04-01,0,0,1,0,18,0
"281","Continente não especificado",2012-05-01,0,0,1,0,7,-0.611111111111111
"282","Continente não especificado",2012-06-01,0,0,0,1,32,1.38888888888889
"283","Continente não especificado",2012-07-01,0,0,0,1,4,-4
"284","Continente não especificado",2012-08-01,0,0,0,1,9,0.15625
"285","Continente não especificado",2012-09-01,0,1,0,0,6,-0.75
"286","Continente não especificado",2012-10-01,0,1,0,0,22,1.77777777777778
"287","Continente não especificado",2012-11-01,0,1,0,0,24,0.333333333333333
"288","Continente não especificado",2012-12-01,1,0,0,0,11,-0.590909090909091
"289","Continente não especificado",2013-01-01,1,0,0,0,32,0.875
"290","Continente não especificado",2013-02-01,1,0,0,0,18,-1.27272727272727
"291","Continente não especificado",2013-03-01,0,0,1,0,18,0
"292","Continente não especificado",2013-04-01,0,0,1,0,11,-0.388888888888889
"293","Continente não especificado",2013-05-01,0,0,1,0,20,0.5
"294","Continente não especificado",2013-06-01,0,0,0,1,9,-1
"295","Continente não especificado",2013-07-01,0,0,0,1,17,0.4
"296","Continente não especificado",2013-08-01,0,0,0,1,21,0.444444444444444
"297","Continente não especificado",2013-09-01,0,1,0,0,11,-0.588235294117647
"298","Continente não especificado",2013-10-01,0,1,0,0,26,0.714285714285714
"299","Continente não especificado",2013-11-01,0,1,0,0,16,-0.909090909090909
"300","Continente não especificado",2013-12-01,1,0,0,0,15,-0.0384615384615385
"301","Continente não especificado",2014-01-01,1,0,0,0,15,0
"302","Continente não especificado",2014-02-01,1,0,0,0,15,0
"303","Continente não especificado",2014-03-01,0,0,1,0,7,-0.533333333333333
"304","Continente não especificado",2014-04-01,0,0,1,0,8,0.0666666666666667
"305","Continente não especificado",2014-05-01,0,0,1,0,13,0.714285714285714
"306","Continente não especificado",2014-06-01,0,0,0,1,36,2.875
